sku_id,product_name,category,on_hand_inventory,on_order_inventory,lead_time_weeks,safety_stock_units,reorder_point_units,minimum_order_qty,avg_forward_weekly_demand,weeks_of_supply,demand_cv,unit_cost_inr,unit_selling_price_inr,risk_status,recommended_order_qty,primary_driver,recommended_action,potential_lost_sales_inr,excess_capital_locked_inr,markdown_exposure_inr
SKU-BEV-005,Roasted Almond Badam Milk Mix 500g,Beverages & Dairy,450,0,2,41,181,20,111.2,4.0,0.371,210.0,315.0,WATCH / VOLATILE,0,Elevated demand volatility (CV = 0.37) or tight safety cushion (WOS: 4.0 wks vs Lead Time 2 wks).,Audit daily POS sell-through and supplier delivery SLA. Re-evaluate reorder trigger at next weekly cycle.,17512.03,0.0,0.0
SKU-BEV-006,Tender Coconut Water Tetrapack 200ml (12-pk),Beverages & Dairy,680,100,1,57,172,40,212.0,3.2,0.341,280.0,420.0,HEALTHY,0,Well-balanced stock coverage (3.2 weeks) comfortably covers supplier lead time (1 wks) with stable volatility (CV: 0.34).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-SNK-001,Peri Peri Roasted Foxnut Makhana 150g,Snacks & Packaged Foods,85,50,2,88,388,50,287.3,0.3,0.323,115.0,189.0,REORDER NOW,450,On-hand (85) + On-order (50) is below lead-time demand + safety stock (552 units). Current cover 0.3 wks < 2 wks lead time.,Issue immediate PO for 450 units (MOQ: 50). Expedite shipment with 1st tier supplier.,78907.5,0.0,0.0
SKU-SNK-002,Dark Chocolate Quinoa Granola 400g,Snacks & Packaged Foods,240,0,3,73,328,30,175.1,1.4,0.378,220.0,349.0,REORDER NOW,300,On-hand (240) + On-order (0) is below lead-time demand + safety stock (525 units). Current cover 1.4 wks < 3 wks lead time.,Issue immediate PO for 300 units (MOQ: 30). Expedite shipment with 1st tier supplier.,99430.1,0.0,0.0
SKU-SNK-003,Multigrain Roasted Nachos 200g,Snacks & Packaged Foods,2400,100,2,85,445,60,263.4,9.1,0.291,60.0,99.0,HEALTHY,0,Well-balanced stock coverage (9.1 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.29).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-SNK-004,Handcrafted Kaju Katli Gift Box 500g,Snacks & Packaged Foods,120,50,1,49,94,20,69.3,1.7,0.631,390.0,599.0,WATCH / VOLATILE,0,Elevated demand volatility (CV = 0.63) or tight safety cushion (WOS: 1.7 wks vs Lead Time 1 wks).,Audit daily POS sell-through and supplier delivery SLA. Re-evaluate reorder trigger at next weekly cycle.,20770.32,0.0,0.0
SKU-SNK-005,Baked Oats Digestive Biscuits 300g,Snacks & Packaged Foods,820,0,2,59,339,40,212.9,3.9,0.231,50.0,80.0,HEALTHY,0,Well-balanced stock coverage (3.9 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.23).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-SNK-006,Gourmet Salted Pistachios 250g,Snacks & Packaged Foods,380,50,2,45,165,25,89.2,4.3,0.373,290.0,440.0,WATCH / VOLATILE,0,Elevated demand volatility (CV = 0.37) or tight safety cushion (WOS: 4.3 wks vs Lead Time 2 wks).,Audit daily POS sell-through and supplier delivery SLA. Re-evaluate reorder trigger at next weekly cycle.,19613.0,0.0,0.0
SKU-PER-001,Bhringraj & Onion Hair Fall Control Shampoo 300ml,Personal Care,620,80,2,50,260,40,168.3,3.7,0.353,180.0,299.0,WATCH / VOLATILE,0,Elevated demand volatility (CV = 0.35) or tight safety cushion (WOS: 3.7 wks vs Lead Time 2 wks).,Audit daily POS sell-through and supplier delivery SLA. Re-evaluate reorder trigger at next weekly cycle.,25157.11,0.0,0.0
SKU-PER-002,Neem & Salicylic Acid Clarifying Face Wash 150ml,Personal Care,80,0,2,62,302,45,231.8,0.3,0.284,120.0,210.0,REORDER NOW,405,On-hand (80) + On-order (0) is below lead-time demand + safety stock (476 units). Current cover 0.3 wks < 2 wks lead time.,Issue immediate PO for 405 units (MOQ: 45). Expedite shipment with 1st tier supplier.,83160.0,0.0,0.0
SKU-PER-003,Matte Gel Sunscreen SPF 50 PA++++ 50g,Personal Care,250,0,3,103,373,30,158.7,1.6,0.406,250.0,449.0,REORDER NOW,240,On-hand (250) + On-order (0) is below lead-time demand + safety stock (479 units). Current cover 1.6 wks < 3 wks lead time.,Issue immediate PO for 240 units (MOQ: 30). Expedite shipment with 1st tier supplier.,102821.0,0.0,0.0
SKU-PER-004,Deep Cleansing Activated Bamboo Charcoal Soap 125g,Personal Care,1950,0,1,42,182,50,207.0,9.4,0.248,45.0,89.0,HEALTHY,0,Well-balanced stock coverage (9.4 weeks) comfortably covers supplier lead time (1 wks) with stable volatility (CV: 0.25).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-PER-005,Cedarwood & Argan Nourishing Beard Oil 30ml,Personal Care,820,0,3,49,169,20,59.0,13.9,0.471,160.0,285.0,MARKDOWN / CLEAR,0,Excessive inventory holding (820 units = 13.9 weeks of supply). Significant capital lockup exceeds 10-week safety ceiling.,Halt all incoming procurements. Activate 20%-30% clearance discount promotional bundle to liquidate 465 excess units.,0.0,74524.0,39823.76
SKU-PER-006,Hydrating Rose Water Face Toner Mist 200ml,Personal Care,210,0,2,49,209,30,125.6,1.7,0.308,110.0,195.0,REORDER NOW,60,On-hand (210) + On-order (0) is below lead-time demand + safety stock (251 units). Current cover 1.7 wks < 2 wks lead time.,Issue immediate PO for 60 units (MOQ: 30). Expedite shipment with 1st tier supplier.,7917.0,0.0,0.0
SKU-HOU-001,Citrus Herbal Anti-Bacterial Floor Cleaner 2L,Household Essentials,790,100,2,46,306,40,199.6,4.0,0.229,140.0,230.0,HEALTHY,0,Well-balanced stock coverage (4.0 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.23).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-HOU-002,Concentrated Enzymatic Liquid Laundry Detergent 1L,Household Essentials,115,0,2,54,384,50,282.0,0.4,0.223,170.0,279.0,REORDER NOW,450,On-hand (115) + On-order (0) is below lead-time demand + safety stock (546 units). Current cover 0.4 wks < 2 wks lead time.,Issue immediate PO for 450 units (MOQ: 50). Expedite shipment with 1st tier supplier.,120249.0,0.0,0.0
SKU-HOU-003,Multi-Surface Disinfectant Surface Spray 500ml,Household Essentials,1700,0,2,62,282,35,166.2,10.2,0.303,95.0,165.0,MARKDOWN / CLEAR,0,Excessive inventory holding (1700 units = 10.2 weeks of supply). Significant capital lockup exceeds 10-week safety ceiling.,Halt all incoming procurements. Activate 20%-30% clearance discount promotional bundle to liquidate 702 excess units.,0.0,66766.0,34788.6
SKU-HOU-004,100% Biodegradable Cornstarch Garbage Bags (30 pcs),Household Essentials,860,0,1,39,184,50,283.6,3.0,0.272,80.0,140.0,HEALTHY,0,Well-balanced stock coverage (3.0 weeks) comfortably covers supplier lead time (1 wks) with stable volatility (CV: 0.27).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-HOU-005,Lemon Blossom Grease-Cutting Dishwash Gel 750ml,Household Essentials,980,120,2,52,392,50,261.7,3.7,0.224,90.0,155.0,HEALTHY,0,Well-balanced stock coverage (3.7 weeks) comfortably covers supplier lead time (2 wks) with stable volatility (CV: 0.22).,Maintain regular monitoring cadence. No procurement or discounting action required.,0.0,0.0,0.0
SKU-HOU-006,Lavender Aromatherapy Mosquito Repellent Vaporizer Pack,Household Essentials,1500,0,2,85,275,30,195.0,7.7,0.397,120.0,199.0,WATCH / VOLATILE,0,Elevated demand volatility (CV = 0.40) or tight safety cushion (WOS: 7.7 wks vs Lead Time 2 wks).,Audit daily POS sell-through and supplier delivery SLA. Re-evaluate reorder trigger at next weekly cycle.,19401.26,0.0,0.0
